201	KG스틸	11130	-1.33%	290045	2.08	37.73
202	SK가스	120500	-0.66%	119	4.33	11.53
203	KODEX Top5PlusTR	16215	+0.97%	35	N/A	N/A
204	일진하이솔루스	30500	+0.49%	4819	157.22	2.27
205	GKL	17750	-0.17%	18164	-48.23	-5.94
206	솔루엠	21950	+3.54%	94703	23.20	16.93
207	SK네트웍스	4650	-0.53%	40569	13.36	3.88
208	한올바이오파마	20900	+0.72%	13516	4,180.00	0.15
209	SK오션플랜트	20250	-0.49%	34927	38.65	6.73
210	제주항공	14000	-0.64%	15229	-4.97	-70.86
211	코리안리	7560	-1.18%	6046	6.74	5.91
212	종근당	84400	+0.36%	1325	13.10	13.62
213	한샘	44700	0.00%	2349	-14.75	-13.37
214	대덕전자	21250	+0.47%	55802	5.95	23.94
215	TCC스틸	40250	+2.42%	198394	32.99	16.54
216	DL	49800	+0.10%	2776	18.58	1.52
217	TIGER TOP10	10875	+0.83%	6062	N/A	N/A
218	영풍	564000	-1.23%	196	2.83	9.96
219	KODEX 코스닥150선물인버스	4260	+0.35%	14930295	N/A	N/A
220	오리온홀딩스	16250	-0.06%	2847	9.88	4.83
221	TIGER 단기통안채	103230	0.00%	51019	N/A	N/A
222	명신산업	18960	+0.64%	19890	11.60	25.18
223	롯데웰푸드	104100	-0.86%	768	17.55	2.89
224	SK리츠	4910	-0.41%	4599	258.42	0.43
225	신풍제약	18120	+0.11%	33380	-28.27	-10.27
226	아시아나항공	12830	-0.77%	15892	8.65	18.48
227	PI첨단소재	32350	-0.15%	4948	20.78	13.70
228	율촌화학	38100	-1.17%	3880	-228.14	-1.22
229	더존비즈온	30950	+0.32%	12521	40.89	5.15
230	롯데렌탈	25650	-0.39%	1713	9.95	7.48
231	대한유화	143800	-2.18%	2288	-6.27	-7.66
232	TKG휴켐스	22550	-0.66%	7373	11.27	11.37
233	NHN	26200	+0.58%	763	-30.15	-1.82
234	한국콜마	39350	-0.76%	3882	-40.95	-3.26
235	KODEX 인버스	4690	0.00%	2801142	N/A	N/A
236	삼양식품	117900	+0.26%	1717	11.13	18.92
237	롯데리츠	3625	-0.41%	3777	62.50	1.25
238	하나투어	54700	-1.62%	6480	-12.52	-64.01
239	영원무역홀딩스	63200	-1.25%	425	1.95	23.98
240	제이알글로벌리츠	4315	-0.58%	22132	45.42	2.04
241	다우기술	18910	-1.46%	17535	2.28	17.36
242	이엔플러스	13980	-3.12%	589523	-21.84	-53.00
243	세아베스틸지주	23550	-2.69%	17624	9.28	4.91
244	한일시멘트	12140	-0.90%	2871	10.67	5.59
245	LG전자우	48850	-0.31%	1231	7.38	N/A
246	대웅	14380	-1.17%	5702	8.15	13.17
247	미원상사	170500	+0.29%	69	11.72	22.64
248	F&F홀딩스	21000	-2.10%	7323	6.21	6.64
249	더블유게임즈	44600	0.00%	748	-6.20	-16.82
250	진에어	15690	-1.07%	5432	-16.57	-35.07
251	코스맥스	71300	-0.14%	4579	38.81	3.65
252	넥센타이어	8260	-1.31%	7801	-30.94	-1.74
253	서울가스	161000	-29.85%	8476	45.53	1.70
254	이노션	39850	0.00%	549	11.29	8.46
255	KODEX 단기채권	105825	0.00%	26876	N/A	N/A
256	ESR켄달스퀘어리츠	3720	-0.27%	1575	62.00	1.39
257	HDC현대산업개발	11980	+0.67%	24520	15.68	1.75
258	해성디에스	46350	+0.22%	9660	4.94	42.99
259	롯데관광개발	10660	-1.66%	29713	-3.40	-154.22
260	태광산업	701000	-0.43%	51	2.28	8.52
261	KODEX 코스닥150레버리지	10010	-0.65%	2164521	N/A	N/A
262	SNT모티브	52200	-1.14%	16420	8.72	10.08
263	TIGER 200 IT	30080	+0.82%	1933	N/A	N/A
264	DN오토모티브	74600	0.00%	1438	4.12	22.81
265	녹십자홀딩스	15830	+1.74%	4877	23.88	3.18
